,Unnamed: 0,sequence,sid,pos_acts_toeachother,neg_acts_toeachother,pos_acts_together,neg_acts_together,pos_char1_acts,neg_char1_acts,pos_char2_acts,neg_char2_acts,pos,neg,filename,unique_ID,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired,manualLabel
0,0,1,s0,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents0,2,2,1,1,2,1,p
1,1,1,s9,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents9,1,1,0,0,0,0,p
2,2,1,s10,0,0,0,0,0,0,1,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents10,2,1,0,0,0,0,p
3,3,1,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents12,0,1,0,0,0,0,p
4,4,1,s13,0,0,0,0,0,0,0,0,0,2,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents13,0,0,0,0,0,0,p
5,5,1,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents14,0,0,0,0,0,0,p
6,6,1,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents17,1,0,0,1,0,0,p
7,7,1,s21,0,0,1,0,0,0,0,0,1,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents21,0,2,1,0,2,1,p
8,8,1,s23,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents23,0,0,0,0,0,0,p
9,9,1,s24,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents24,0,1,0,0,0,0,p
10,10,2,s0,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents0,2,2,1,0,2,0,n
11,11,2,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents12,0,1,0,0,0,0,n
12,12,2,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents14,0,0,0,0,0,0,n
13,13,2,s16,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents16,0,0,0,0,0,0,n
14,14,2,s20,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents20,0,0,0,0,0,0,n
15,15,2,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents24,0,1,0,0,0,0,n
16,16,3,s0,0,0,0,0,0,0,0,1,1,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents0,2,2,1,1,2,1,n
17,17,3,s10,0,0,1,0,0,1,0,0,1,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents10,2,1,0,0,0,0,n
18,18,3,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents14,0,0,0,0,0,0,n
19,19,3,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents15,0,0,0,0,0,0,n
20,20,3,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents17,1,0,0,1,0,0,n
21,21,4,s0,0,0,0,0,0,1,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents0,2,2,1,1,2,1,n
22,22,4,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents12,0,1,0,0,0,0,n
23,23,4,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents14,0,0,0,0,0,0,n
24,24,4,s15,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents15,0,0,0,0,0,0,n
25,25,4,s18,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents18,0,0,0,0,0,0,n
26,26,4,s22,1,0,0,1,0,0,0,0,0,1,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents22,0,0,1,0,0,1,n
27,27,4,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.3.5.sent,aeschylus.libation.3.5.sents24,0,1,0,0,0,0,n
28,28,5,s5,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents5,0,0,1,0,0,1,n
29,29,5,s6,0,0,0,0,0,0,0,0,0,0,agee.death.0.1.sent,agee.death.0.1.sents6,0,1,1,0,1,1,n
30,30,5,s7,0,0,0,0,0,1,0,0,1,1,agee.death.0.1.sent,agee.death.0.1.sents7,0,0,0,0,0,0,n
31,31,5,s15,0,0,0,0,0,1,0,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents15,0,0,1,0,0,1,n
32,32,5,s40,0,0,0,0,0,0,1,0,1,0,agee.death.0.1.sent,agee.death.0.1.sents40,0,0,1,0,0,0,n
33,33,5,s41,0,0,0,0,0,0,0,0,0,1,agee.death.0.1.sent,agee.death.0.1.sents41,1,0,0,0,0,0,n
34,34,6,s10,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents10,1,0,0,1,0,0,p
35,35,6,s11,0,0,0,0,0,0,1,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents11,0,1,1,0,1,1,p
36,36,6,s12,0,0,1,0,0,0,0,0,2,0,agee.death.1.4.sent,agee.death.1.4.sents12,1,0,0,1,0,0,p
37,37,6,s14,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents14,0,0,1,0,0,1,p
38,38,6,s21,0,0,0,0,0,0,0,0,0,1,agee.death.1.4.sent,agee.death.1.4.sents21,1,0,1,1,0,1,p
39,39,6,s30,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents30,0,0,0,0,0,0,p
40,40,6,s41,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents41,1,0,0,0,0,0,p
41,41,6,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents42,0,0,0,0,0,0,p
42,42,6,s44,0,0,0,0,0,0,0,0,0,0,agee.death.1.4.sent,agee.death.1.4.sents44,0,0,0,0,0,0,p
43,43,7,s30,0,0,0,0,0,0,0,0,0,1,agee.death.1.9.sent,agee.death.1.9.sents30,0,0,0,0,0,0,p
44,44,7,s36,0,0,0,0,0,1,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents36,0,0,0,0,0,0,p
45,45,7,s40,0,0,0,0,1,0,0,0,1,0,agee.death.1.9.sent,agee.death.1.9.sents40,0,0,1,0,0,0,p
46,46,7,s42,0,0,0,0,0,0,0,0,0,0,agee.death.1.9.sent,agee.death.1.9.sents42,0,0,0,0,0,0,p
47,47,7,s70,0,0,0,0,0,1,0,0,0,2,agee.death.1.9.sent,agee.death.1.9.sents70,0,0,1,0,0,0,p
48,48,8,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents18,0,0,0,0,0,0,p
49,49,8,s23,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents23,0,0,0,0,0,0,p
50,50,8,s34,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents34,0,0,0,0,0,0,p
51,51,8,s43,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents43,0,0,0,0,0,0,p
52,52,8,s47,0,0,0,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents47,0,0,0,0,0,0,p
53,53,8,s61,0,0,1,0,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents61,0,0,2,0,0,0,p
54,54,8,s71,0,0,0,1,0,0,0,0,0,0,agee.death.3.4.sent,agee.death.3.4.sents71,0,2,0,0,0,0,p
55,55,9,s18,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents18,0,0,0,0,0,0,p
